Total classes: 318
Total entries: 166509
["news/the-fix", 14173]
["amphtml/news/dr-gridlock/wp/2016/05/11/still-plenty-of-moving-parts-to-metro-maintenance-surge", 5]
["amphtml/news/tripping/wp/2016/03/18/metro-is-dead-long-live-brt-or-so-some-say", 5]
["blogs/terrapins-insider", 5]
["news/tripping/wp/2016/04/28/its-easy-to-blame-unions-for-all-of-metros-problems-its-also-wrong", 5]
["amphtml/news/tripping/wp/2016/02/12/heres-what-metro-should-do-to-win-riders-back", 5]
["archive/politics/1996/01/26/metro-crash-capped-run-of-mishaps/1a5b63dc-e48f-4f6c-b956-b9f889f82ed1", 5]
["news/dr-gridlock/wp/2016/05/11/still-plenty-of-moving-parts-to-metro-maintenance-surge", 5]
["r", 5]
["amphtml/news/tripping/wp/2016/05/05/metro-trains-with-passengers-sent-to-investigate-reports-of-smoke-in-tunnels-union-says-it-never-heard-of-that", 5]
["news/tripping/wp/2016/05/05/metro-trains-with-passengers-sent-to-investigate-reports-of-smoke-in-tunnels-union-says-it-never-heard-of-that", 5]
["amphtml/news/tripping/wp/2016/06/08/instead-of-building-the-silver-line-metro-should-have-fixed-the-system-it-had", 5]
["news/tripping/wp/2016/02/12/heres-what-metro-should-do-to-win-riders-back", 5]
["amphtml/news/dr-gridlock/wp/2016/03/06/wiedefeld-turning-metro-around-requires-us-to-confront-some-hard-truths", 4]
["news/dr-gridlock/wp/2015/09/15/lots-of-metrobus-disruptions-detours-and-delays-during-papal-visit", 4]
["news/dr-gridlock/wp/2016/03/06/wiedefeld-turning-metro-around-requires-us-to-confront-some-hard-truths", 4]
["b/news/acts-of-fai", 4]
["news/opinions", 4]
["news/dr-gridlock/wp/2015/07/28/silver-line-is-a-mixed-blessing-for-metro-riders", 4]
["news/dr-gridlock/wp/2018/05/04/how-metro-inherited-three-century-old-streetcar-trestles-and-a-burden", 4]
["amphtml/news/dr-gridlock/wp/2018/05/04/how-metro-inherited-three-century-old-streetcar-trestles-and-a-burden", 4]
["amphtml/news/tripping/wp/2016/05/03/ntsb-metro-ignored-our-repeated-warnings-and-someone-died-it-could-happen-again", 4]
["amphtml/news/dr-gridlock/wp/2016/02/19/metros-new-leaders-talk-candidly-about-problems-plaguing-the-system", 4]
["news/dr-gridlock/wp/2017/01/23/metro-did-remarkably-well-in-48-hour-stress-test", 4]
["news/tripping/wp/2016/03/18/metro-is-dead-long-live-brt-or-so-some-say", 4]
["amphtml/news/dr-gridlock/wp/2016/02/23/man-shot-on-anacostia-metro-station-platform", 4]
["news/tripping/wp/2016/05/20/metro-shakes-up-ranks-and-its-about-time", 4]
["news/dr-gridlock/wp/2016/02/23/man-shot-on-anacostia-metro-station-platform", 4]
["amphtml/news/tripping/wp/2016/05/20/metro-shakes-up-ranks-and-its-about-time", 4]
["blogs/dr-gridlock/wp/2015/09/10/maryland-bus-commuters-will-have-to-transfer-to-metro-during-pope-franciss-visit", 4]
["news/dr-gridlock/wp/2015/09/10/maryland-bus-commuters-will-have-to-transfer-to-metro-during-pope-franciss-visit", 4]
["news/tripping/wp/2016/06/08/instead-of-building-the-silver-line-metro-should-have-fixed-the-system-it-had", 4]
["amphtml/news/dr-gridlock/wp/2017/01/23/metro-did-remarkably-well-in-48-hour-stress-test", 4]
["amphtml/news/dr-gridlock/wp/2016/06/13/commuters-and-metro-staff-learning-to-deal-with-safetrack", 4]
["blogs/dr-gridlock/wp/2015/09/15/lots-of-metrobus-disruptions-detours-and-delays-during-papal-visit", 4]
["news/dr-gridlock/wp/2016/06/13/commuters-and-metro-staff-learning-to-deal-with-safetrack", 4]
["news/dr-gridlock/wp/2016/02/19/metros-new-leaders-talk-candidly-about-problems-plaguing-the-system", 4]
["amphtml/news/dr-gridlock/wp/2016/06/05/how-metros-safetrack-plan-could-affect-your-commute-if-you-drive", 4]
["news/dr-gridlock/wp/2016/03/15/with-metrorail-closed-here-are-some-options-for-getting-around-wednesday", 3]
["news/wonk/wp/2015/02/18/what-happens-when-a-metropolitan-area-has-way-too-many-governments", 3]
["amphtml/news/dr-gridlock/wp/2016/06/03/montgomery-county-planning-for-summer-of-safetrack-on-metro", 3]
["news/dr-gridlock/wp/2016/02/02/could-metro-and-uber-be-teaming-up", 3]
["amphtml/news/tripping/wp/2016/05/24/a-horrific-rape-occurs-on-metro-shouldnt-metro-officials-or-transit-police-have-told-us", 3]
["news/dr-gridlock/wp/2015/11/09/metro-rolls-out-new-buses-on-some-of-its-busiest-routes", 3]
["amphtml/news/dr-gridlock/wp/2016/08/08/lets-talk-about-safetrack-metro-and-your-commute-join-our-off-the-rails-facebook-group", 3]
["amphtml/news/tripping/wp/2016/05/13/reduced-fares-during-metros-safety-surge-jack-evans-says-hes-for-it", 3]
["news/dr-gridlock/wp/2016/05/10/foxx-we-arent-afraid-to-shut-down-metro-for-safety", 3]
["news/dr-gridlock/wp/2016/01/12/long-distance-metro-passengers-offset-ridership-losses-from-metro-fare-hikes-study-finds", 3]
["amphtml/news/tripping/wp/2016/03/31/go-ahead-metro-shut-down-an-entire-line-if-thats-what-it-takes", 3]
["amphtml/news/dr-gridlock/wp/2016/01/28/metro-board-has-new-leader-d-c-council-member-jack-evans", 3]
["amphtml/news/dr-gridlock/wp/2016/02/02/could-metro-and-uber-be-teaming-up", 3]
["amphtml/news/dr-gridlock/wp/2016/11/30/elaine-chao-will-face-many-challenges-as-trumps-transportation-secretary-including-what-to-do-about-metro", 3]
["amphtml/news/dr-gridlock/wp/2016/01/06/metro-green-line-train-decouples-on-approach-to-navy-yard", 3]
["amphtml/news/dr-gridlock/wp/2016/01/12/long-distance-metro-passengers-offset-ridership-losses-from-metro-fare-hikes-study-finds", 3]
["amphtml/news/dr-gridlock/wp/2016/05/10/foxx-we-arent-afraid-to-shut-down-metro-for-safety", 3]
["amphtml/news/local/wp/2016/05/24/have-you-been-a-victim-of-crime-or-unwanted-behavior-on-metro-share-your-story", 3]
["news/dr-gridlock/wp/2016/10/27/metrorails-7-a-m-start-will-worsen-marine-corps-marathons-traffic-impact-sunday", 3]
["news/dr-gridlock/wp/2016/06/05/how-metros-safetrack-plan-could-affect-your-commute-if-you-drive", 3]
["amphtml/news/dr-gridlock/wp/2016/08/22/metro-fights-union-lawsuit-to-reinstate-lenfant-plaza-tunnel-inspector", 3]
["news/tripping/wp/2016/04/14/wrestlemania-comes-to-capitol-hill-metro-vs-congress", 3]
["news/dr-gridlock/wp/2016/11/30/elaine-chao-will-face-many-challenges-as-trumps-transportation-secretary-including-what-to-do-about-metro", 3]
["news/dr-gridlock/wp/2016/05/24/fairfax-to-add-bus-service-to-assist-in-yearlong-metro-safetrack-disruptions", 3]
["news/dr-gridlock/wp/2016/06/03/montgomery-county-planning-for-summer-of-safetrack-on-metro", 3]
["amphtml/news/dr-gridlock/wp/2016/02/09/metro-as-rail-service-declines-so-does-ridership", 3]
["news/dr-gridlock/wp/2016/01/06/metro-green-line-train-decouples-on-approach-to-navy-yard", 3]
["news/dr-gridlock/wp/2015/08/12/why-does-the-new-bethesda-metro-escalator-keep-shutting-down", 3]
["news/tripping/wp/2016/05/13/reduced-fares-during-metros-safety-surge-jack-evans-says-hes-for-it", 3]
["news/tripping/wp/2016/03/16/why-metros-shutdown-might-be-a-good-thing", 3]
["amphtml/news/tripping/wp/2016/02/09/metro-needs-more-cops-on-trains", 3]
["amphtml/news/tripping/wp/2016/04/14/wrestlemania-comes-to-capitol-hill-metro-vs-congress", 3]
["amphtml/news/dr-gridlock/wp/2016/10/27/metrorails-7-a-m-start-will-worsen-marine-corps-marathons-traffic-impact-sunday", 3]
["news/tripping/wp/2016/05/03/ntsb-metro-ignored-our-repeated-warnings-and-someone-died-it-could-happen-again", 3]
["news/tripping/wp/2016/02/09/metro-needs-more-cops-on-trains", 3]
["news/dr-gridlock/wp/2016/02/09/metro-as-rail-service-declines-so-does-ridership", 3]
["news/tripping/wp/2016/05/06/partys-over-metros-massive-rebuilding-will-put-crimp-on-nightlife", 3]
["news/local/wp/2016/05/24/have-you-been-a-victim-of-crime-or-unwanted-behavior-on-metro-share-your-story", 3]
["amphtml/news/tripping/wp/2016/05/06/partys-over-metros-massive-rebuilding-will-put-crimp-on-nightlife", 3]
["news/dr-gridlock/wp/2016/01/28/metro-board-has-new-leader-d-c-council-member-jack-evans", 3]
["amphtml/news/dr-gridlock/wp/2016/05/24/fairfax-to-add-bus-service-to-assist-in-yearlong-metro-safetrack-disruptions", 3]
["blogs/mike-debonis", 3]
["amphtml/express/wp/2017/07/24/one-month-after-safetrack-has-much-changed-for-metro", 3]
["blogs/on-leadershi", 3]
["blogs/nationals-journ", 3]
["amphtml/news/tripping/wp/2016/02/09/some-metro-customers-have-been-getting-charged-peak-fares-at-off-peak-times", 3]
["amphtml/news/dr-gridlock/wp/2016/03/15/with-metrorail-closed-here-are-some-options-for-getting-around-wednesday", 3]
["amphtml/news/dr-gridlock/wp/2016/02/12/production-of-metros-new-railcars-is-still-behind-schedule", 3]
["amphtml/news/worldviews/wp/2016/08/01/rios-long-delayed-olympic-metro-line-opens-in-the-nick-of-time", 3]
["news/worldviews/wp/2016/08/01/rios-long-delayed-olympic-metro-line-opens-in-the-nick-of-time", 3]
["amphtml/news/dr-gridlock/wp/2016/10/26/hes-not-getting-on-board-metro-operator-abandons-train-because-his-shift-was-over", 2]
["amphtml/news/dr-gridlock/wp/2016/11/15/off-duty-federal-agents-help-subdue-armed-metro-passenger", 2]
["news/wonk/wp/2016/03/15/we-actually-know-what-washington-would-look-like-if-the-metro-system-didnt-exist", 2]
["news/dr-gridlock/wp/2016/02/23/what-metro-ridership-looked-like-during-the-blizzard-in-two-charts", 2]
["news/tripping/wp/2016/05/25/in-paul-we-trust-t-shirt-honors-metro-boss-wiedefeld-presidential-bid-next", 2]
["news/dr-gridlock/wp/2016/02/12/production-of-metros-new-railcars-is-still-behind-schedule", 2]
["amphtml/news/dr-gridlock/wp/2016/06/22/metro-gm-paul-wiedefeld-adds-another-new-yorker-to-his-executive-team", 2]
["amphtml/blogs/all-opinions-are-local/wp/2018/04/16/gov-northams-metro-plan-will-save-our-constituents-money", 2]
["amphtml/news/tripping/wp/2016/08/10/if-metro-had-an-artificial-brain-maybe-it-wouldnt-be-so-dangerous", 2]
["blogs/dr-gridlock/wp/2015/09/09/metro-will-run-near-rush-hour-rail-service-during-pope-franciss-visit-but-expect-crowds-and-delays", 2]
["blogs/where-we-live", 2]
["amphtml/news/dr-gridlock/wp/2016/07/29/alternatives-for-metro-riders-affected-by-derailment-near-east-falls-church", 2]
["amphtml/news/dr-gridlock/wp/2016/06/23/after-station-flood-d-c-moves-to-improve-drainage-near-cleveland-park-metro", 2]
["news/dr-gridlock/wp/2016/11/15/off-duty-federal-agents-help-subdue-armed-metro-passenger", 2]
["news/dr-gridlock/wp/2015/09/09/metro-will-run-near-rush-hour-rail-service-during-pope-franciss-visit-but-expect-crowds-and-delays", 2]
["amphtml/news/tripping/wp/2016/05/25/in-paul-we-trust-t-shirt-honors-metro-boss-wiedefeld-presidential-bid-next", 2]
["b/news/the-fix", 2]
["news/wonk/wp/2015/12/18/what-people-who-live-near-metro-stops-increasingly-have-in-common", 2]
["blogs/wizards-insider", 2]
["news/dr-gridlock/wp/2016/03/24/montgomery-county-officials-oppose-metro-partnership-with-uber-lyft-for-paratransit", 2]
["news/dr-gridlock/wp/2016/03/21/a-look-at-how-metro-riders-turned-to-uber-during-the-shutdown-in-3-charts", 2]
["amphtml/news/wonk/wp/2016/03/15/we-actually-know-what-washington-would-look-like-if-the-metro-system-didnt-exist", 2]
["news/dr-gridlock/wp/2015/12/22/metro-adds-the-proposed-potomac-yard-station-to-its-rail-system", 2]
["news/tripping/wp/2016/07/26/partys-really-over-if-metro-closes-early-from-now-on", 2]
["news/dr-gridlock/wp/2016/07/29/alternatives-for-metro-riders-affected-by-derailment-near-east-falls-church", 2]
["news/dr-gridlock/wp/2015/12/16/congresss-spending-bill-includes-150m-for-metro-ups-transit-benefit-for-commuters", 2]
["amphtml/news/dr-gridlock/wp/2016/03/21/a-look-at-how-metro-riders-turned-to-uber-during-the-shutdown-in-3-charts", 2]
["news/dr-gridlock/wp/2016/05/26/heres-ubers-plan-for-getting-you-around-during-metros-safetrack-program", 2]
["amphtml/news/dr-gridlock/wp/2016/02/23/what-metro-ridership-looked-like-during-the-blizzard-in-two-charts", 2]
["news/tripping/wp/2016/05/24/a-horrific-rape-occurs-on-metro-shouldnt-metro-officials-or-transit-police-have-told-us", 2]
["express/wp/2017/07/24/one-month-after-safetrack-has-much-changed-for-metro", 2]
["news/dc-sports-bog/wp/2015/08/31/attention-redskins-fans-no-late-metro-service-for-preseason-game-against-jaguars", 2]
["news/tripping/wp/2016/02/09/some-metro-customers-have-been-getting-charged-peak-fares-at-off-peak-times", 2]
["news/tripping/wp/2016/02/24/d-c-s-metro-is-the-no-1-transit-system-in-the-nation-yes-you-read-that-right", 2]
["news/tripping/wp/2016/06/27/metros-job-cuts-seem-like-good-call-but-are-also-nothing-to-cheer-about", 2]
["amphtml/news/worldviews/wp/2016/05/12/this-email-was-supposed-to-prevent-the-brussels-metro-explosion-but-it-was-sent-to-the-wrong-address", 2]
["news/dr-gridlock/wp/2015/12/22/man-assaulted-on-metros-red-line-during-rush-hour-attack", 2]
["amphtml/news/dr-gridlock/wp/2016/01/19/metro-transit-police-charge-17-year-old-in-december-red-line-attack", 2]
["amphtml/news/tripping/wp/2016/03/16/why-metros-shutdown-might-be-a-good-thing", 2]
["news/tripping/wp/2016/03/31/go-ahead-metro-shut-down-an-entire-line-if-thats-what-it-takes", 2]
["news/dr-gridlock/wp/2016/03/15/uberpool-got-a-lot-of-new-customers-after-mondays-metro-meltdown", 2]
["news/dr-gridlock/wp/2016/08/08/lets-talk-about-safetrack-metro-and-your-commute-join-our-off-the-rails-facebook-group", 2]
["amphtml/news/dr-gridlock/wp/2016/04/10/after-getting-tail-whopped-in-earlier-sales-tax-fight-mark-warner-has-no-plans-to-push-hike-for-metro", 2]
["news/dr-gridlock/wp/2016/10/26/hes-not-getting-on-board-metro-operator-abandons-train-because-his-shift-was-over", 2]
["amphtml/news/dr-gridlock/wp/2016/03/15/uberpool-got-a-lot-of-new-customers-after-mondays-metro-meltdown", 2]
["news/dr-gridlock/wp/2016/06/22/metro-gm-paul-wiedefeld-adds-another-new-yorker-to-his-executive-team", 2]
["amphtml/news/tripping/wp/2016/08/15/time-for-new-metro-fashion-line", 2]
["blogs/all-opinions-are-local/wp/2018/04/16/gov-northams-metro-plan-will-save-our-constituents-money", 2]
["amphtml/news/dr-gridlock/wp/2016/03/16/metro-shutdown-leads-to-record-day-for-uber-company-says", 2]
["news/dr-gridlock/wp/2016/08/22/metro-fights-union-lawsuit-to-reinstate-lenfant-plaza-tunnel-inspector", 2]
["news/dr-gridlock/wp/2016/05/20/metro-fires-20-managers", 2]
["news/dr-gridlock/wp/2016/04/10/after-getting-tail-whopped-in-earlier-sales-tax-fight-mark-warner-has-no-plans-to-push-hike-for-metro", 2]
["news/worldviews/wp/2016/05/12/this-email-was-supposed-to-prevent-the-brussels-metro-explosion-but-it-was-sent-to-the-wrong-address", 2]
["news/tripping/wp/2016/08/15/time-for-new-metro-fashion-line", 2]
["amphtml/news/tripping/wp/2016/06/27/metros-job-cuts-seem-like-good-call-but-are-also-nothing-to-cheer-about", 2]
["news/tripping/wp/2016/08/10/if-metro-had-an-artificial-brain-maybe-it-wouldnt-be-so-dangerous", 2]
["graphics/local/metro-timeline", 2]
["amphtml/news/tripping/wp/2016/02/24/d-c-s-metro-is-the-no-1-transit-system-in-the-nation-yes-you-read-that-right", 2]
["amphtml/news/dr-gridlock/wp/2016/05/26/heres-ubers-plan-for-getting-you-around-during-metros-safetrack-program", 2]
["news/local/wp/2015/12/17/if-you-live-near-a-metro-station-in-the-d-c-area-chances-are-youre-white", 2]
["news/olympics", 2]
["news/dc-sports-bog/wp/2018/02/20/nats-sean-doolittle-avoided-metro-for-weeks-after-teen-told-him-he-looked-like-seth-rogen", 2]
["amphtml/news/tripping/wp/2016/07/26/partys-really-over-if-metro-closes-early-from-now-on", 2]
["amphtml/news/dr-gridlock/wp/2016/03/24/montgomery-county-officials-oppose-metro-partnership-with-uber-lyft-for-paratransit", 2]
["amphtml/news/dc-sports-bog/wp/2016/11/17/reminder-metro-wont-run-late-after-the-redskins-sunday-night-football-game", 2]
["news/dr-gridlock/wp/2015/11/30/everything-you-need-to-know-about-metros-new-boss-paul-wiedefeld", 2]
["news/dc-sports-bog/wp/2016/11/17/reminder-metro-wont-run-late-after-the-redskins-sunday-night-football-game", 1]
["news/local/wp/2015/05/11/what-happens-when-metros-down-34-for-a-three-mile-uber-ride", 1]
["amphtml/news/dr-gridlock/wp/2016/07/25/metro-employees-disciplined-after-evacuating-passengers-before-cutting-third-rail-power", 1]
["news/dr-gridlock/wp/2016/01/21/metro-will-close-all-weekend", 1]
["amphtml/news/dr-gridlock/wp/2016/08/11/another-metroaccess-contractor-charged-with-sexually-assaulting-a-client", 1]
["news/dr-gridlock/wp/2016/03/15/uber-is-capping-surge-prices-at-3-9x-while-metro-is-closed", 1]
["amphtml/news/dr-gridlock/wp/2016/01/04/metro-transit-police-looking-for-six-individuals-in-connection-with-red-line-attack", 1]
["amphtml/news/dr-gridlock/wp/2016/06/06/metros-safetrack-program-on-its-first-workday-more-crowds-but-no-meltdown", 1]
["news/dr-gridlock/wp/2016/08/11/another-metroaccess-contractor-charged-with-sexually-assaulting-a-client", 1]
["news/local/wp/2015/03/24/its-here-tourist-season-has-come-to-the-d-c-metro-system", 1]
["news/dr-gridlock/wp/2016/07/25/this-graph-proves-that-metro-is-on-fire-more-than-ever", 1]
["amphtml/news/dr-gridlock/wp/2016/07/25/this-graph-proves-that-metro-is-on-fire-more-than-ever", 1]
["news/dr-gridlock/wp/2016/01/13/metro-employees-charged-with-theft", 1]
["news/table", 1]
["amphtml/news/tripping/wp/2016/08/19/hot-new-metro-fashion-t-shirt-pokes-fun-at-rash-of-subway-fires", 1]
["express/wp/2018/03/06/the-best-or-worst-items-in-metros-m-shop", 1]
["amphtml/news/dr-gridlock/wp/2018/05/07/woman-with-machete-and-child-arrested-at-mcpherson-square-station-metro-official-said", 1]
["news/dr-gridlock/wp/2015/12/01/a-d-c-jazz-duo-created-a-song-about-metro-escalator-etiquette", 1]
["amphtml/news/dr-gridlock/wp/2016/08/17/alexandria-man-charged-with-2nd-incident-of-indecent-exposure-aboard-metro", 1]
["amphtml/news/dr-gridlock/wp/2016/03/14/tips-for-metro-orange-blue-and-silver-line-riders-facing-a-difficult-p-m-commute", 1]
["graphics/local/metro-history-failures", 1]
["amphtml/news/dr-gridlock/wp/2016/03/15/uber-is-capping-surge-prices-at-3-9x-while-metro-is-closed", 1]
["news/dr-gridlock/wp/2016/06/21/metro-trains-bypassing-cleveland-park-due-to-flooding", 1]
["amphtml/news/dr-gridlock/wp/2016/01/13/metro-employees-charged-with-theft", 1]
["news/dr-gridlock/wp/2016/07/29/disastrous-morning-for-metro-train-derailment-and-troubles-on-all-6-rail-lines", 1]
["news/dr-gridlock/wp/2016/01/04/metro-transit-police-looking-for-six-individuals-in-connection-with-red-line-attack", 1]
["news/dr-gridlock/wp/2016/03/14/tips-for-metro-orange-blue-and-silver-line-riders-facing-a-difficult-p-m-commute", 1]
["news/dr-gridlock/wp/2016/01/19/metro-transit-police-charge-17-year-old-in-december-red-line-attack", 1]
["news/dr-gridlock/wp/2016/07/25/metro-employees-disciplined-after-evacuating-passengers-before-cutting-third-rail-power", 1]
["amphtml/news/dr-gridlock/wp/2018/05/07/delays-on-metros-red-line-due-to-power-problem", 1]
["news/tripping/wp/2016/08/19/hot-new-metro-fashion-t-shirt-pokes-fun-at-rash-of-subway-fires", 1]
["news/dr-gridlock/wp/2018/05/07/woman-with-machete-and-child-arrested-at-mcpherson-square-station-metro-official-said", 1]
["amphtml/news/dc-sports-bog/wp/2018/02/20/nats-sean-doolittle-avoided-metro-for-weeks-after-teen-told-him-he-looked-like-seth-rogen", 1]
["amphtml/news/dr-gridlock/wp/2017/01/21/metro-inauguration-day-trips-top-500000-but-still-lowest-since-2005", 1]
["amphtml/express/wp/2018/03/06/the-best-or-worst-items-in-metros-m-shop", 1]
["news/dr-gridlock/wp/2017/01/21/metro-inauguration-day-trips-top-500000-but-still-lowest-since-2005", 1]
["news/dr-gridlock/wp/2016/06/23/after-station-flood-d-c-moves-to-improve-drainage-near-cleveland-park-metro", 1]
["news/dr-gridlock/wp/2016/06/30/metro-gm-paul-wiedefeld-continues-management-shake-up-with-new-general-counsel", 1]
["news/dr-gridlock/wp/2016/06/06/metros-safetrack-program-on-its-first-workday-more-crowds-but-no-meltdown", 1]
["news/tripping/wp/2016/07/29/time-to-give-up-on-metro-derailment-plus-trouble-on-all-6-lines-makes-you-wonder", 1]
["news/dr-gridlock/wp/2016/01/21", 1]
["amphtml/news/dr-gridlock/wp/2016/06/21/metro-trains-bypassing-cleveland-park-due-to-flooding", 1]
["amphtml/news/tripping/wp/2016/07/29/time-to-give-up-on-metro-derailment-plus-trouble-on-all-6-lines-makes-you-wonder", 1]
["amphtml/news/dr-gridlock/wp/2016/01/21/metro-will-close-all-weekend", 1]
["news/dr-gridlock/wp/2016/08/17/alexandria-man-charged-with-2nd-incident-of-indecent-exposure-aboard-metro", 1]
["news/dr-gridlock/wp/2016/03/16/metro-shutdown-leads-to-record-day-for-uber-company-says", 1]
["amphtml/news/dr-gridlock/wp/2016/06/30/metro-gm-paul-wiedefeld-continues-management-shake-up-with-new-general-counsel", 1]
["amphtml/news/dr-gridlock/wp/2016/07/29/disastrous-morning-for-metro-train-derailment-and-troubles-on-all-6-rail-lines", 1]
